dataset,pred_len,train_ratio,train_ratio_seed,seed,variant,feature_path,source_metric_path,metric_path,seconds,student_mse,student_mae,teacher_oracle_mse,teacher_oracle_mae,numeric_base_mse,numeric_base_mae,mean_gate,mean_reliability
AQShunyi,96,0.1,2026,2026,hybrid,generated/AQShunyi/AQShunyi_sl96_pl96_semantic_v1_text_features.npz,outputs_semantic_v1_tunedbase/long_term_forecast_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_0/metrics.json,outputs_revision_r1q2/long_term_forecast_aqshunyi_r1q2_hybrid_p96_r0p10_s2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q2_hybrid_p96_0/metrics.json,0.0,0.6569389700889587,0.471908301115036,0.4614417552947998,0.3912976086139679,0.7246354818344116,0.49854180216789246,0.5228464603424072,0.865835964679718
AQShunyi,96,0.1,2026,2027,hybrid,generated/AQShunyi/AQShunyi_sl96_pl96_semantic_v1_text_features.npz,outputs_semantic_v1_tunedbase/long_term_forecast_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_0/metrics.json,outputs_revision_r1q2/long_term_forecast_aqshunyi_r1q2_hybrid_p96_r0p10_s2027_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q2_hybrid_p96_0/metrics.json,0.0,0.6646486520767212,0.4741651117801666,0.4770059883594513,0.3991122543811798,0.7246354818344116,0.49854180216789246,0.5028626322746277,0.8532402515411377
AQShunyi,96,0.1,2026,2028,hybrid,generated/AQShunyi/AQShunyi_sl96_pl96_semantic_v1_text_features.npz,outputs_semantic_v1_tunedbase/long_term_forecast_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_0/metrics.json,outputs_revision_r1q2/long_term_forecast_aqshunyi_r1q2_hybrid_p96_r0p10_s2028_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q2_hybrid_p96_0/metrics.json,0.0,0.6625642776489258,0.47357863187789917,0.4645019471645355,0.39253702759742737,0.7246354818344116,0.49854180216789246,0.5284165740013123,0.8739054203033447
AQShunyi,96,0.1,2026,2026,structured_summary_only,generated/r1q2_feature_attribution/AQShunyi/AQShunyi_sl96_pl96_text_M_semantic_v1_structured_summary_only_256d.npz,outputs_semantic_v1_tunedbase/long_term_forecast_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_0/metrics.json,outputs_revision_r1q2/long_term_forecast_aqshunyi_r1q2_structured_summary_only_p96_r0p10_s2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q2_structured_summary_only_p96_0/metrics.json,0.0,0.6561083793640137,0.4715398848056793,0.46882152557373047,0.39595434069633484,0.7246354818344116,0.49854180216789246,0.5222875475883484,0.8532431721687317
AQShunyi,96,0.1,2026,2027,structured_summary_only,generated/r1q2_feature_attribution/AQShunyi/AQShunyi_sl96_pl96_text_M_semantic_v1_structured_summary_only_256d.npz,outputs_semantic_v1_tunedbase/long_term_forecast_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_0/metrics.json,outputs_revision_r1q2/long_term_forecast_aqshunyi_r1q2_structured_summary_only_p96_r0p10_s2027_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q2_structured_summary_only_p96_0/metrics.json,0.0,0.6476709246635437,0.4710131585597992,0.4910898506641388,0.4069225788116455,0.7246354818344116,0.49854180216789246,0.5081356167793274,0.8430260419845581
AQShunyi,96,0.1,2026,2028,structured_summary_only,generated/r1q2_feature_attribution/AQShunyi/AQShunyi_sl96_pl96_text_M_semantic_v1_structured_summary_only_256d.npz,outputs_semantic_v1_tunedbase/long_term_forecast_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_0/metrics.json,outputs_revision_r1q2/long_term_forecast_aqshunyi_r1q2_structured_summary_only_p96_r0p10_s2028_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q2_structured_summary_only_p96_0/metrics.json,0.0,0.6593513488769531,0.47196024656295776,0.484148770570755,0.39829006791114807,0.7246354818344116,0.49854180216789246,0.5210492014884949,0.8530734777450562
AQShunyi,96,0.1,2026,2026,template_hash_only,generated/r1q2_feature_attribution/AQShunyi/AQShunyi_sl96_pl96_text_M_semantic_v1_template_hash_only_256d.npz,outputs_semantic_v1_tunedbase/long_term_forecast_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_0/metrics.json,outputs_revision_r1q2/long_term_forecast_aqshunyi_r1q2_template_hash_only_p96_r0p10_s2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q2_template_hash_only_p96_0/metrics.json,0.0,0.6619606614112854,0.47407087683677673,0.5330328941345215,0.4296973645687103,0.7246354818344116,0.49854180216789246,0.5141446590423584,0.8202510476112366
AQShunyi,96,0.1,2026,2027,template_hash_only,generated/r1q2_feature_attribution/AQShunyi/AQShunyi_sl96_pl96_text_M_semantic_v1_template_hash_only_256d.npz,outputs_semantic_v1_tunedbase/long_term_forecast_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_0/metrics.json,outputs_revision_r1q2/long_term_forecast_aqshunyi_r1q2_template_hash_only_p96_r0p10_s2027_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q2_template_hash_only_p96_0/metrics.json,0.0,0.6614323258399963,0.47425732016563416,0.573551595211029,0.4428918957710266,0.7246354818344116,0.49854180216789246,0.4203401505947113,0.6951470971107483
AQShunyi,96,0.1,2026,2028,template_hash_only,generated/r1q2_feature_attribution/AQShunyi/AQShunyi_sl96_pl96_text_M_semantic_v1_template_hash_only_256d.npz,outputs_semantic_v1_tunedbase/long_term_forecast_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_sv1_p96_r0p10_bs48_lr5em04_0/metrics.json,outputs_revision_r1q2/long_term_forecast_aqshunyi_r1q2_template_hash_only_p96_r0p10_s2028_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q2_template_hash_only_p96_0/metrics.json,0.0,0.6603487730026245,0.4714522361755371,0.5614340305328369,0.4336836040019989,0.7246354818344116,0.49854180216789246,0.5507453680038452,0.8644168376922607
weather,96,0.1,2026,2026,hybrid,generated/weather/weather_sl96_pl96_semantic_v1_text_features.npz,outputs_semantic_v1_tunedbase/long_term_forecast_weather_sv1_p96_r0p10_bs32_lr4em04_S2026_CARE_Forecast_weather_ftM_sl96_pl96_hd256_sd128_weather_sv1_p96_r0p10_bs32_lr4em04_0/metrics.json,outputs_revision_r1q2/long_term_forecast_weather_r1q2_hybrid_p96_r0p10_s2026_CARE_Forecast_weather_ftM_sl96_pl96_hd256_sd128_r1q2_hybrid_p96_0/metrics.json,0.0,0.16565456986427307,0.21222937107086182,0.1507892608642578,0.19878795742988586,0.19682493805885315,0.24154578149318695,0.6397250294685364,0.8458429574966431
