role,dataset,pred_len,train_ratio,train_ratio_mode,train_ratio_seed,init_seed,method,mse,mae,seconds,metric_path,numeric_checkpoint
strong-gain,AQShunyi,96,0.1,uniform,2026,2026,RCARE-Forecast,0.6562421917915344,0.47173431515693665,0.0,outputs_revision_r1q3/long_term_forecast_aqshunyi_r1q3_p96_r0p10_s2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q3_p96_fixedsubset_0/metrics.json,checkpoints/long_term_forecast_aqshunyi_p96_r0p10_e8x8_NUM_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_p96_r0p10_num_0/checkpoint.pth
strong-gain,AQShunyi,96,0.1,uniform,2026,2026,MA-FRFT numeric prior,0.7246357798576355,0.49854156374931335,0.0,outputs_revision_r1q3/long_term_forecast_aqshunyi_r1q3_p96_r0p10_s2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q3_p96_fixedsubset_0/metrics.json,checkpoints/long_term_forecast_aqshunyi_p96_r0p10_e8x8_NUM_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_p96_r0p10_num_0/checkpoint.pth
strong-gain,AQShunyi,96,0.1,uniform,2026,2027,RCARE-Forecast,0.6487728357315063,0.47166794538497925,0.0,outputs_revision_r1q3/long_term_forecast_aqshunyi_r1q3_p96_r0p10_s2027_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q3_p96_fixedsubset_0/metrics.json,checkpoints/long_term_forecast_aqshunyi_p96_r0p10_e8x8_NUM_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_p96_r0p10_num_0/checkpoint.pth
strong-gain,AQShunyi,96,0.1,uniform,2026,2027,MA-FRFT numeric prior,0.7246357798576355,0.49854156374931335,0.0,outputs_revision_r1q3/long_term_forecast_aqshunyi_r1q3_p96_r0p10_s2027_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q3_p96_fixedsubset_0/metrics.json,checkpoints/long_term_forecast_aqshunyi_p96_r0p10_e8x8_NUM_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_p96_r0p10_num_0/checkpoint.pth
strong-gain,AQShunyi,96,0.1,uniform,2026,2028,RCARE-Forecast,0.6617860794067383,0.47353655099868774,0.0,outputs_revision_r1q3/long_term_forecast_aqshunyi_r1q3_p96_r0p10_s2028_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q3_p96_fixedsubset_0/metrics.json,checkpoints/long_term_forecast_aqshunyi_p96_r0p10_e8x8_NUM_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_p96_r0p10_num_0/checkpoint.pth
strong-gain,AQShunyi,96,0.1,uniform,2026,2028,MA-FRFT numeric prior,0.7246357798576355,0.49854156374931335,0.0,outputs_revision_r1q3/long_term_forecast_aqshunyi_r1q3_p96_r0p10_s2028_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_r1q3_p96_fixedsubset_0/metrics.json,checkpoints/long_term_forecast_aqshunyi_p96_r0p10_e8x8_NUM_S2026_CARE_Forecast_AQShunyi_ftM_sl96_pl96_hd256_sd128_aqshunyi_p96_r0p10_num_0/checkpoint.pth
strong-gain,AQShunyi,96,0.1,uniform,2026,2026,TimeMixer,0.7117194533348083,0.4980158805847168,0.0,results/long_term_forecast_AQShunyi_r1q3_sl96_pl96_r0p10_s2026_none_TimeMixer_custom_sl96_pl96_dm16_nh8_el2_dl1_df32_fc1_ebtimeF_dtTrue_R1Q3_fixedsubset_s2026_0/metrics.npy,
weak/fallback,Flight,336,0.2,uniform,2026,2026,RCARE-Forecast,0.16849690675735474,0.2733544111251831,0.0,outputs_revision_r1q3/long_term_forecast_flight_r1q3_p336_r0p20_s2026_CARE_Forecast_Flight_ftM_sl96_pl336_hd256_sd128_r1q3_p336_fixedsubset_0/metrics.json,checkpoints_reproduce_final/long_term_forecast_flight_p336_r0p20_e10x10_NUM_S2026_CARE_Forecast_Flight_ftM_sl96_pl336_hd256_sd128_flight_p336_r0p20_num_0/checkpoint.pth
weak/fallback,Flight,336,0.2,uniform,2026,2026,MA-FRFT numeric prior,0.16864202916622162,0.2740083634853363,0.0,outputs_revision_r1q3/long_term_forecast_flight_r1q3_p336_r0p20_s2026_CARE_Forecast_Flight_ftM_sl96_pl336_hd256_sd128_r1q3_p336_fixedsubset_0/metrics.json,checkpoints_reproduce_final/long_term_forecast_flight_p336_r0p20_e10x10_NUM_S2026_CARE_Forecast_Flight_ftM_sl96_pl336_hd256_sd128_flight_p336_r0p20_num_0/checkpoint.pth
weak/fallback,Flight,336,0.2,uniform,2026,2026,TimeMixer,0.16040319204330444,0.26813122630119324,0.0,results/long_term_forecast_Flight_r1q3_sl96_pl336_r0p20_s2026_none_TimeMixer_custom_sl96_pl336_dm16_nh8_el2_dl1_df32_fc1_ebtimeF_dtTrue_R1Q3_fixedsubset_s2026_0/metrics.npy,
