ratio,baseline,metric,n,wins,ties,losses,mean_relative_improvement_pct,median_relative_improvement_pct,wilcoxon_p_two_sided,wilcoxon_p_one_sided,BH_FDR_q_two_sided,correction_family,test
5%,FreqLLM,MSE,12,11,0,1,9.380361590157854,8.703578722248032,0.00146484375,0.000732421875,0.00201416015625,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
10%,FreqLLM,MSE,12,12,0,0,9.919806356677284,10.313354968691693,0.00048828125,0.000244140625,0.0008951822916666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
20%,FreqLLM,MSE,12,12,0,0,9.132633287281106,9.703574542284214,0.00048828125,0.000244140625,0.0008951822916666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
5%,T3Time,MSE,12,12,0,0,21.65125474216004,15.833275996513924,0.00048828125,0.000244140625,0.0013427734375,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
10%,T3Time,MSE,12,12,0,0,17.838664721811405,14.702973793882885,0.00048828125,0.000244140625,0.0008951822916666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
20%,T3Time,MSE,12,12,0,0,14.69097888760972,12.302233154030374,0.00048828125,0.000244140625,0.0008951822916666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
5%,TimeCMA,MSE,12,11,0,1,10.839561601427915,9.217821152089604,0.00244140625,0.001220703125,0.0029839409722222,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
10%,TimeCMA,MSE,12,11,0,1,10.96041583272508,9.989372649591065,0.00146484375,0.000732421875,0.0017903645833333,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
20%,TimeCMA,MSE,12,11,0,1,11.33740328988082,11.3681065336787,0.0009765625,0.00048828125,0.0015345982142857,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
5%,CALF,MSE,12,10,0,2,7.45704731442626,6.778791155407206,0.0048828125,0.00244140625,0.00537109375,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
10%,CALF,MSE,12,9,0,3,7.064176097647904,6.409543367274184,0.0068359375,0.00341796875,0.0068359375,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
20%,CALF,MSE,12,10,0,2,6.4384385973462495,5.610279299514706,0.0029296875,0.00146484375,0.0035807291666666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
5%,LangTime,MSE,12,12,0,0,16.393395000031965,11.198744544425894,0.00048828125,0.000244140625,0.0013427734375,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
10%,LangTime,MSE,12,12,0,0,14.008579630407958,12.057818737958574,0.00048828125,0.000244140625,0.0008951822916666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
20%,LangTime,MSE,12,12,0,0,11.889390592688628,10.709590190684878,0.00048828125,0.000244140625,0.0008951822916666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
5%,BALM-TSF,MSE,12,12,0,0,13.674653551815272,11.636749199347388,0.00048828125,0.000244140625,0.0013427734375,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
10%,BALM-TSF,MSE,12,12,0,0,11.682977994452298,11.147346659026306,0.00048828125,0.000244140625,0.0008951822916666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
20%,BALM-TSF,MSE,12,12,0,0,10.385107655355082,11.333604805049378,0.00048828125,0.000244140625,0.0008951822916666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
5%,S2IP-LLM,MSE,12,11,0,1,8.837358151350204,8.132028239824013,0.0009765625,0.00048828125,0.0015345982142857,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
10%,S2IP-LLM,MSE,12,11,0,1,8.448287015410232,9.057400680389778,0.0009765625,0.00048828125,0.0013427734375,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
20%,S2IP-LLM,MSE,12,11,0,1,7.395194818154792,7.211784283283906,0.00146484375,0.000732421875,0.00201416015625,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
5%,TimeKAN,MSE,12,10,0,2,5.782265585190627,5.819457487917977,0.0068359375,0.00341796875,0.0068359375,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
10%,TimeKAN,MSE,12,11,0,1,6.499280654893112,5.061034615114315,0.00244140625,0.001220703125,0.002685546875,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
20%,TimeKAN,MSE,12,11,0,1,6.376732957822938,5.008042981694178,0.00390625,0.001953125,0.004296875,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
5%,TimeMixer,MSE,12,11,0,1,9.19655046104862,8.431857512596292,0.0009765625,0.00048828125,0.0015345982142857,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
10%,TimeMixer,MSE,12,11,0,1,6.878257687716223,7.187527645645766,0.0009765625,0.00048828125,0.0013427734375,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
20%,TimeMixer,MSE,12,9,1,2,5.859205846983911,5.965422773429008,0.0068359375,0.00341796875,0.0068359375,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
5%,Amplifier,MSE,12,12,0,0,29.4613174178054,21.944005553234977,0.00048828125,0.000244140625,0.0013427734375,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
10%,Amplifier,MSE,12,12,0,0,16.368928546032347,12.927730305289526,0.00048828125,0.000244140625,0.0008951822916666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
20%,Amplifier,MSE,12,12,0,0,12.05786231462,11.60410681148933,0.00048828125,0.000244140625,0.0008951822916666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
5%,FilterTS,MSE,12,11,0,1,9.667108527727253,9.442857068911078,0.0009765625,0.00048828125,0.0015345982142857,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
10%,FilterTS,MSE,12,12,0,0,10.486558025755931,10.656354515050165,0.00048828125,0.000244140625,0.0008951822916666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
20%,FilterTS,MSE,12,12,0,0,8.389174896270516,9.800810954714864,0.00048828125,0.000244140625,0.0008951822916666,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
5%,FreqLLM,MAE,12,11,0,1,6.853853728554256,6.432108169872403,0.0009765625,0.00048828125,0.0013427734375,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
10%,FreqLLM,MAE,12,12,0,0,7.082868525099308,7.195594287097556,0.00048828125,0.000244140625,0.00067138671875,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
20%,FreqLLM,MAE,12,12,0,0,6.771193105637206,7.855443693980714,0.00048828125,0.000244140625,0.0007672991071428,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
5%,T3Time,MAE,12,12,0,0,15.891408140247943,10.571845608161963,0.00048828125,0.000244140625,0.0013427734375,11 baselines within ratio and metric,two-sided Wilcoxon signed-rank
